movieId,tmdb_title,year,has_tfidf,has_embeddings,has_metadata
4942,The Angry Red Planet,1959.0,True,True,True
4945,The Enforcer,1976.0,True,True,True
4946,An Eye for an Eye,1981.0,True,True,True
4947,The Gauntlet,1977.0,True,True,True
4951,Lord of the Flies,1990.0,True,True,True
4952,Morons from Outer Space,1985.0,True,True,True
4953,The People That Time Forgot,1977.0,True,True,True
4956,The Stunt Man,1980.0,True,True,True
4957,Sudden Impact,1983.0,True,True,True
4958,Behind Enemy Lines,2001.0,True,True,True
4959,The Affair of the Necklace,2001.0,True,True,True
4962,Texas Rangers,2001.0,True,True,True
4963,Ocean's Eleven,2001.0,True,True,True
4964,Baran,2001.0,True,True,True
4965,The Business of Strangers,2001.0,True,True,True
4966,The Incredible Shrinking Man,1957.0,True,True,True
4967,No Man's Land,2001.0,True,True,True
4969,And Then There Were None,1945.0,True,True,True
4970,The Blue Angel,1930.0,True,True,True
4971,Moscow on the Hudson,1984.0,True,True,True
4973,Amélie,2001.0,True,True,True
4974,Not Another Teen Movie,2001.0,True,True,True
4975,Vanilla Sky,2001.0,True,True,True
4976,Iris,2001.0,True,True,True
4977,Kandahar,2001.0,True,True,True
4978,Lantana,2001.0,True,True,True
4979,The Royal Tenenbaums,2001.0,True,True,True
4980,Bill & Ted's Bogus Journey,1991.0,True,True,True
4981,Clockwise,1986.0,True,True,True
4985,Sheena,1984.0,True,True,True
4987,Spacehunter: Adventures in the Forbidden Zone,1983.0,True,True,True
4988,White Water Summer,1987.0,True,True,True
4989,How High,2001.0,True,True,True
4990,Jimmy Neutron: Boy Genius,2001.0,True,True,True
4991,Joe Somebody,2001.0,True,True,True
4992,Kate & Leopold,2001.0,True,True,True
4993,The Lord of the Rings: The Fellowship of the Ring,2001.0,True,True,True
4994,The Majestic,2001.0,True,True,True
4995,A Beautiful Mind,2001.0,True,True,True
4998,The Defiant Ones,1958.0,True,True,True
5004,The Birthday Party,1968.0,True,True,True
